geometry,building,x,y
"POLYGON ((1964939.906071049 8368200.050873755, 1964956.236640348 8368182.38233654, 1964967.724811798 8368193.001188842, 1964985.257631598 8368209.206606684, 1965004.705146639 8368227.18557293, 1965017.384436641 8368238.912937043, 1965001.053867342 8368256.581609689, 1964939.906071049 8368200.050873755))",apartments,"[1964939.9060710487, 1964956.236640348, 1964967.7248117982, 1964985.257631598, 1965004.7051466394, 1965017.384436641, 1965001.0538673417, 1964939.9060710487]","[8368200.050873755, 8368182.38233654, 8368193.001188842, 8368209.206606684, 8368227.18557293, 8368238.912937043, 8368256.581609689, 8368200.050873755]"
"POLYGON ((1965182.504637334 8368343.484605632, 1965162.556184585 8368325.261494596, 1965142.607731834 8368307.038428581, 1965122.659279084 8368288.837576689, 1965102.699694385 8368270.614600681, 1965082.751241635 8368252.391669688, 1965062.802788884 8368234.168783718, 1965079.189017929 8368216.211969329, 1965198.890866379 8368325.527525085, 1965182.504637334 8368343.484605632))",apartments,"[1965182.5046373345, 1965162.5561845845, 1965142.607731834, 1965122.6592790843, 1965102.6996943848, 1965082.7512416348, 1965062.8027888844, 1965079.1890179291, 1965198.8908663795, 1965182.5046373345]","[8368343.484605632, 8368325.2614945965, 8368307.038428581, 8368288.837576689, 8368270.614600681, 8368252.391669688, 8368234.168783718, 8368216.211969329, 8368325.527525085, 8368343.484605632]"
"POLYGON ((1965156.277765304 8368193.865772477, 1965174.144543576 8368176.529781477, 1965267.44140881 8368272.676321981, 1965249.674818079 8368289.923862574, 1965232.553880395 8368272.277279106, 1965215.232567628 8368254.519892882, 1965193.725642007 8368232.550451741, 1965174.812460521 8368212.95314474, 1965156.277765304 8368193.865772477))",apartments,"[1965156.2777653036, 1965174.144543576, 1965267.4414088095, 1965249.6748180792, 1965232.5538803951, 1965215.232567628, 1965193.7256420068, 1965174.812460521, 1965156.2777653036]","[8368193.865772477, 8368176.529781477, 8368272.6763219815, 8368289.923862574, 8368272.277279106, 8368254.519892882, 8368232.550451741, 8368212.95314474, 8368193.865772477]"
"POLYGON ((1964276.942843629 8368050.168929697, 1964374.814939935 8367949.968530092, 1964393.883968708 8367967.703014944, 1964295.91168486 8368068.701719147, 1964276.942843629 8368050.168929697))",apartments,"[1964276.942843629, 1964374.8149399348, 1964393.8839687079, 1964295.9116848605, 1964276.942843629]","[8368050.168929697, 8367949.968530092, 8367967.703014944, 8368068.701719147, 8368050.168929697]"
"POLYGON ((2006337.030952932 8372767.556952908, 2006336.619070816 8372750.343302034, 2006376.304469284 8372749.411636513, 2006376.015038607 8372737.27781293, 2006392.367871805 8372736.878528396, 2006392.946733157 8372760.924368755, 2006403.277181903 8372760.68036075, 2006403.755855713 8372780.666860871, 2006376.7163514 8372781.310156451, 2006376.360129029 8372766.625285206, 2006337.030952932 8372767.556952908))",apartments,"[2006337.0309529318, 2006336.6190708156, 2006376.3044692837, 2006376.0150386074, 2006392.367871805, 2006392.9467331574, 2006403.277181903, 2006403.7558557133, 2006376.7163513997, 2006376.360129029, 2006337.0309529318]","[8372767.556952908, 8372750.343302034, 8372749.411636513, 8372737.27781293, 8372736.878528396, 8372760.924368755, 8372760.68036075, 8372780.666860871, 8372781.310156451, 8372766.625285206, 8372767.556952908]"
"POLYGON ((2006305.527537037 8372710.503614709, 2006302.510778836 8372684.505894712, 2006383.161749917 8372675.144963374, 2006386.178508117 8372701.142650363, 2006305.527537037 8372710.503614709))",apartments,"[2006305.5275370374, 2006302.5107788364, 2006383.1617499166, 2006386.1785081169, 2006305.5275370374]","[8372710.503614709, 8372684.505894712, 8372675.144963374, 8372701.142650363, 8372710.503614709]"
"POLYGON ((1965069.916104346 8373047.506245826, 1965069.571013925 8373023.037987561, 1965221.967396821 8373020.908387775, 1965222.312487243 8373045.376638979, 1965069.916104346 8373047.506245826))",apartments,"[1965069.916104346, 1965069.5710139247, 1965221.9673968207, 1965222.3124872425, 1965069.916104346]","[8373047.506245826, 8373023.037987561, 8373020.908387775, 8373045.376638979, 8373047.506245826]"
"POLYGON ((1965219.128749806 8373176.060214966, 1965218.171402185 8373060.993770143, 1965240.746994918 8373060.794119108, 1965241.704342538 8373175.882744616, 1965219.128749806 8373176.060214966))",apartments,"[1965219.1287498055, 1965218.1714021848, 1965240.7469949175, 1965241.7043425385, 1965219.1287498055]","[8373176.060214966, 8373060.993770143, 8373060.794119108, 8373175.882744616, 8373176.060214966]"
"POLYGON ((1965211.380913246 8373339.844989532, 1965210.033947408 8373187.795451648, 1965232.186526076 8373187.595797187, 1965233.544623863 8373339.645330947, 1965211.380913246 8373339.844989532))",apartments,"[1965211.3809132464, 1965210.033947408, 1965232.1865260757, 1965233.5446238632, 1965211.3809132464]","[8373339.844989532, 8373187.795451648, 8373187.595797187, 8373339.645330947, 8373339.844989532]"
"POLYGON ((1965218.850451078 8373506.406500216, 1965215.132380086 8373349.805741284, 1965237.207035111 8373350.227243322, 1965241.737738386 8373506.406500216, 1965218.850451078 8373506.406500216))",apartments,"[1965218.8504510785, 1965215.1323800862, 1965237.2070351106, 1965241.7377383858, 1965218.8504510785]","[8373506.406500216, 8373349.805741284, 8373350.227243322, 8373506.406500216, 8373506.406500216]"
"POLYGON ((1965226.965641957 8373671.551915009, 1965225.151134257 8373514.747985402, 1965246.813907166 8373514.503952452, 1965248.628414866 8373671.307876879, 1965226.965641957 8373671.551915009))",apartments,"[1965226.965641957, 1965225.1511342574, 1965246.813907166, 1965248.6284148656, 1965226.965641957]","[8373671.551915009, 8373514.747985402, 8373514.503952452, 8373671.307876879, 8373671.551915009]"
"POLYGON ((1964406.6745782 8373448.016368127, 1964406.251564135 8373421.727648817, 1964541.983419259 8373419.55356483, 1964542.406433324 8373445.842276388, 1964406.6745782 8373448.016368127))",apartments,"[1964406.6745781999, 1964406.2515641346, 1964541.983419259, 1964542.4064333243, 1964406.6745781999]","[8373448.016368127, 8373421.727648817, 8373419.55356483, 8373445.842276388, 8373448.016368127]"
"POLYGON ((1964371.809313684 8373176.614809851, 1964372.69986961 8373248.024795843, 1964389.63156416 8373247.802955735, 1964396.321865556 8373247.714219696, 1964396.110358524 8373231.120598754, 1964395.642816662 8373193.341411217, 1964395.43130963 8373176.304236711, 1964371.809313684 8373176.614809851))",apartments,"[1964371.8093136835, 1964372.69986961, 1964389.6315641596, 1964396.3218655563, 1964396.1103585237, 1964395.6428166623, 1964395.43130963, 1964371.8093136835]","[8373176.614809851, 8373248.024795843, 8373247.8029557355, 8373247.714219696, 8373231.120598754, 8373193.341411217, 8373176.304236711, 8373176.614809851]"
"POLYGON ((1964550.332381069 8373241.724539379, 1964550.265589374 8373225.286219515, 1964550.109742087 8373186.486605804, 1964550.054082342 8373173.5534466, 1964574.600030062 8373173.442527667, 1964574.86719684 8373241.613619422, 1964550.332381069 8373241.724539379))",apartments,"[1964550.3323810687, 1964550.2655893741, 1964550.1097420873, 1964550.0540823417, 1964574.6000300616, 1964574.8671968395, 1964550.3323810687]","[8373241.724539379, 8373225.286219515, 8373186.486605804, 8373173.5534466, 8373173.442527667, 8373241.613619422, 8373241.724539379]"
"POLYGON ((1964762.440538826 8373509.090860108, 1964761.293948071 8373475.547524011, 1964883.711992096 8373473.750563887, 1964884.602548023 8373506.295576276, 1964762.440538826 8373509.090860108))",apartments,"[1964762.4405388264, 1964761.2939480706, 1964883.7119920962, 1964884.602548023, 1964762.4405388264]","[8373509.090860108, 8373475.547524011, 8373473.750563887, 8373506.295576276, 8373509.090860108]"
"POLYGON ((1964864.398060444 8373143.339190524, 1964865.199560777 8373115.742724128, 1964752.633291687 8373117.22902636, 1964753.32347253 8373145.446641961, 1964768.028777264 8373145.246988634, 1964768.084437009 8373149.195688635, 1964779.349969478 8373149.040402638, 1964779.316573631 8373145.934683426, 1964803.439507285 8373145.624111579, 1964803.50629898 8373150.28269069, 1964814.070518656 8373150.12740467, 1964814.014858911 8373146.20088788, 1964842.946794568 8373145.82376491, 1964843.002454313 8373149.617179212, 1964850.66123528 8373149.506260634, 1964850.572179687 8373143.516660092, 1964864.398060444 8373143.339190524))",apartments,"[1964864.3980604438, 1964865.1995607773, 1964752.6332916871, 1964753.32347253, 1964768.0287772638, 1964768.0844370094, 1964779.3499694779, 1964779.3165736306, 1964803.4395072854, 1964803.5062989797, 1964814.070518656, 1964814.0148589108, 1964842.9467945679, 1964843.0024543132, 1964850.6612352799, 1964850.572179687, 1964864.3980604438]","[8373143.339190524, 8373115.742724128, 8373117.22902636, 8373145.446641961, 8373145.246988634, 8373149.195688635, 8373149.040402638, 8373145.934683426, 8373145.624111579, 8373150.28269069, 8373150.12740467, 8373146.20088788, 8373145.82376491, 8373149.617179212, 8373149.506260634, 8373143.516660092, 8373143.339190524]"
"POLYGON ((1964402.822923819 8373265.394897004, 1964402.299722211 8373241.325227529, 1964539.701369698 8373238.330389359, 1964540.224571305 8373262.40004906, 1964402.822923819 8373265.394897004))",apartments,"[1964402.8229238186, 1964402.2997222114, 1964539.7013696977, 1964540.2245713049, 1964402.8229238186]","[8373265.394897004, 8373241.325227529, 8373238.330389359, 8373262.40004906, 8373265.394897004]"
"POLYGON ((1964712.324504071 8373266.52628432, 1964709.931135019 8373142.62931228, 1964745.497712327 8373141.276107069, 1964745.653559615 8373158.401935603, 1964745.942990291 8373189.85854812, 1964746.243552916 8373221.315294837, 1964746.532983592 8373252.749991724, 1964746.655435032 8373266.237891459, 1964712.324504071 8373266.52628432))",apartments,"[1964712.324504071, 1964709.9311350188, 1964745.4977123274, 1964745.6535596147, 1964745.9429902907, 1964746.2435529158, 1964746.5329835918, 1964746.6554350315, 1964712.324504071]","[8373266.52628432, 8373142.62931228, 8373141.276107069, 8373158.4019356035, 8373189.85854812, 8373221.315294837, 8373252.749991724, 8373266.237891459, 8373266.52628432]"
"POLYGON ((1964551.779534449 8373375.694885051, 1964551.946513685 8373354.885951701, 1964552.235944361 8373318.148788412, 1964552.313868005 8373307.522553687, 1964577.227170044 8373307.722211407, 1964576.692836489 8373375.894544605, 1964551.779534449 8373375.694885051))",apartments,"[1964551.7795344486, 1964551.9465136852, 1964552.2359443614, 1964552.313868005, 1964577.227170044, 1964576.6928364886, 1964551.7795344486]","[8373375.694885051, 8373354.885951701, 8373318.148788412, 8373307.522553687, 8373307.7222114075, 8373375.894544605, 8373375.694885051]"
"POLYGON ((1964758.867183171 8373343.68287224, 1964757.108335217 8373311.027656562, 1964870.275729558 8373310.118104388, 1964871.466848109 8373342.662394561, 1964758.867183171 8373343.68287224))",apartments,"[1964758.8671831714, 1964757.1083352172, 1964870.2757295577, 1964871.4668481092, 1964758.8671831714]","[8373343.6828722395, 8373311.027656562, 8373310.118104388, 8373342.662394561, 8373343.6828722395]"
"POLYGON ((1964408.110599631 8373534.425941298, 1964407.798905057 8373507.737587644, 1964545.757149997 8373506.184652327, 1964546.068844571 8373532.873000366, 1964408.110599631 8373534.425941298))",apartments,"[1964408.1105996314, 1964407.7989050571, 1964545.757149997, 1964546.0688445712, 1964408.1105996314]","[8373534.425941298, 8373507.737587644, 8373506.184652327, 8373532.873000366, 8373534.425941298]"
"POLYGON ((1964718.591791403 8373596.166700737, 1964716.799547601 8373503.300630481, 1964751.431041187 8373501.814250426, 1964751.520096779 8373596.54384674, 1964718.591791403 8373596.166700737))",apartments,"[1964718.5917914028, 1964716.7995476008, 1964751.4310411867, 1964751.520096779, 1964718.5917914028]","[8373596.166700737, 8373503.300630481, 8373501.814250426, 8373596.54384674, 8373596.166700737]"
"POLYGON ((1964939.538716729 8373607.50327436, 1964937.123083779 8373483.822420128, 1964905.508348393 8373484.487961771, 1964905.875702713 8373498.286872101, 1964906.743994742 8373530.499219866, 1964907.61228677 8373562.711708349, 1964908.480578798 8373594.924337561, 1964908.792273372 8373606.327464545, 1964939.538716729 8373607.50327436))",apartments,"[1964939.5387167293, 1964937.123083779, 1964905.5083483935, 1964905.8757027132, 1964906.7439947417, 1964907.6122867698, 1964908.4805787976, 1964908.7922733722, 1964939.5387167293]","[8373607.50327436, 8373483.822420128, 8373484.487961771, 8373498.286872101, 8373530.4992198665, 8373562.711708349, 8373594.924337561, 8373606.327464545, 8373607.50327436]"
"POLYGON ((1964405.617043037 8373398.500478602, 1964405.450063801 8373374.053239989, 1964542.673600102 8373373.099311266, 1964542.840579338 8373397.546546722, 1964405.617043037 8373398.500478602))",apartments,"[1964405.6170430374, 1964405.4500638011, 1964542.673600102, 1964542.8405793381, 1964405.6170430374]","[8373398.500478602, 8373374.053239989, 8373373.099311266, 8373397.546546722, 8373398.500478602]"
"POLYGON ((1964553.182160033 8373511.863960196, 1964552.781409866 8373439.231266688, 1964580.477699175 8373439.075974587, 1964580.889581291 8373511.708666567, 1964553.182160033 8373511.863960196))",apartments,"[1964553.182160033, 1964552.7814098662, 1964580.4776991752, 1964580.8895812915, 1964553.182160033]","[8373511.863960196, 8373439.231266688, 8373439.075974587, 8373511.708666567, 8373511.863960196]"
"POLYGON ((1964373.980043754 8373379.865552532, 1964371.987424869 8373311.094209163, 1964390.377404748 8373310.628340958, 1964398.982401386 8373310.317762179, 1964399.616922484 8373332.302335687, 1964400.618797901 8373366.821132301, 1964400.975020271 8373379.089098301, 1964373.980043754 8373379.865552532))",apartments,"[1964373.980043754, 1964371.9874248689, 1964390.3774047482, 1964398.982401386, 1964399.6169224838, 1964400.6187979009, 1964400.9750202713, 1964373.980043754]","[8373379.865552532, 8373311.0942091625, 8373310.628340958, 8373310.317762179, 8373332.302335687, 8373366.821132301, 8373379.089098301, 8373379.865552532]"
"POLYGON ((1964714.595421683 8373433.263615366, 1964713.259587794 8373337.360349763, 1964747.757497991 8373336.872295621, 1964749.09333188 8373432.775554882, 1964714.595421683 8373433.263615366))",apartments,"[1964714.595421683, 1964713.2595877936, 1964747.7574979905, 1964749.09333188, 1964714.595421683]","[8373433.263615366, 8373337.360349763, 8373336.872295621, 8373432.775554882, 8373433.263615366]"
"POLYGON ((1964760.392260195 8373454.6273857, 1964760.993385446 8373420.596237682, 1964873.259091911 8373418.200308797, 1964875.296238593 8373452.763876795, 1964760.392260195 8373454.6273857))",apartments,"[1964760.3922601955, 1964760.9933854456, 1964873.259091911, 1964875.2962385926, 1964760.3922601955]","[8373454.6273857, 8373420.596237682, 8373418.200308797, 8373452.763876795, 8373454.6273857]"
"POLYGON ((1964400.006540701 8373178.167675755, 1964399.917485109 8373152.966920942, 1964537.319132595 8373152.52324645, 1964537.408188188 8373177.723999748, 1964400.006540701 8373178.167675755))",apartments,"[1964400.0065407015, 1964399.917485109, 1964537.3191325953, 1964537.4081881878, 1964400.0065407015]","[8373178.167675755, 8373152.966920942, 8373152.52324645, 8373177.723999748, 8373178.167675755]"
"POLYGON ((1964915.059560704 8373426.874462431, 1964912.365629026 8373334.298919773, 1964880.428067118 8373335.20847493, 1964882.810304221 8373428.072428187, 1964915.059560704 8373426.874462431))",apartments,"[1964915.0595607038, 1964912.3656290264, 1964880.428067118, 1964882.810304221, 1964915.0595607038]","[8373426.874462431, 8373334.298919773, 8373335.20847493, 8373428.072428187, 8373426.874462431]"
"POLYGON ((1964763.375622549 8373617.664053801, 1964762.184503997 8373586.005950925, 1964888.487598251 8373582.722567513, 1964888.487598251 8373616.177650694, 1964763.375622549 8373617.664053801))",apartments,"[1964763.3756225489, 1964762.1845039974, 1964888.4875982513, 1964888.4875982513, 1964763.3756225489]","[8373617.6640538005, 8373586.005950925, 8373582.722567513, 8373616.177650694, 8373617.6640538005]"
"POLYGON ((1964878.335260691 8373233.693938594, 1964877.912246626 8373172.777014097, 1964847.432970047 8373173.242873594, 1964846.976560135 8373233.383363043, 1964878.335260691 8373233.693938594))",apartments,"[1964878.3352606911, 1964877.9122466263, 1964847.4329700468, 1964846.9765601347, 1964878.3352606911]","[8373233.693938594, 8373172.777014097, 8373173.242873594, 8373233.383363043, 8373233.693938594]"
"POLYGON ((1964758.566620546 8373291.771795527, 1964758.499828852 8373256.055412236, 1964869.407437529 8373254.968394589, 1964870.60968803 8373290.795693316, 1964758.566620546 8373291.771795527))",apartments,"[1964758.5666205464, 1964758.499828852, 1964869.4074375294, 1964870.60968803, 1964758.5666205464]","[8373291.771795527, 8373256.055412236, 8373254.968394589, 8373290.7956933165, 8373291.771795527]"
"POLYGON ((1964404.147625759 8373315.841629675, 1964403.568764407 8373289.930511917, 1964541.170786976 8373286.802549236, 1964541.749648328 8373312.713656002, 1964404.147625759 8373315.841629675))",apartments,"[1964404.147625759, 1964403.568764407, 1964541.1707869763, 1964541.7496483284, 1964404.147625759]","[8373315.841629675, 8373289.930511917, 8373286.802549236, 8373312.713656002, 8373315.841629675]"
"POLYGON ((1964376.095114079 8373511.398079311, 1964376.228697468 8373443.202308717, 1964400.952756373 8373443.268862516, 1964400.919360526 8373460.129176667, 1964400.852568832 8373497.155449218, 1964400.819172984 8373511.442448913, 1964376.095114079 8373511.398079311))",apartments,"[1964376.0951140793, 1964376.2286974683, 1964400.9527563732, 1964400.919360526, 1964400.8525688315, 1964400.8191729842, 1964376.0951140793]","[8373511.3980793115, 8373443.202308717, 8373443.268862516, 8373460.129176667, 8373497.155449218, 8373511.442448913, 8373511.3980793115]"
"POLYGON ((1965800.806485047 8372446.604395045, 1965797.110677953 8372422.914484093, 1965814.777081142 8372420.163975022, 1965852.570048267 8372414.263692889, 1965880.266337576 8372409.938301087, 1965897.398407209 8372407.27652278, 1965894.136746129 8372386.359415023, 1965884.284971194 8372323.164823156, 1965907.239050195 8372319.593646175, 1965924.048293305 8372427.395154304, 1965800.806485047 8372446.604395045))",apartments,"[1965800.8064850473, 1965797.110677953, 1965814.777081142, 1965852.5700482668, 1965880.2663375756, 1965897.3984072092, 1965894.1367461286, 1965884.2849711936, 1965907.239050195, 1965924.048293305, 1965800.8064850473]","[8372446.604395045, 8372422.914484093, 8372420.163975022, 8372414.263692889, 8372409.938301087, 8372407.27652278, 8372386.359415023, 8372323.164823156, 8372319.593646175, 8372427.395154304, 8372446.604395045]"
"POLYGON ((1965747.228414129 8372134.094452085, 1965743.198648562 8372109.961933316, 1965868.666846635 8372089.001307855, 1965886.700604144 8372196.954710912, 1965863.924636327 8372200.747637104, 1965860.6295794 8372181.006697557, 1965852.659103859 8372133.273767712, 1965849.931776335 8372116.926641112, 1965841.371307493 8372118.368380804, 1965807.719425426 8372123.980077991, 1965762.445788521 8372131.543676611, 1965747.228414129 8372134.094452085))",apartments,"[1965747.2284141285, 1965743.1986485622, 1965868.6668466353, 1965886.7006041436, 1965863.9246363274, 1965860.6295794, 1965852.6591038592, 1965849.931776335, 1965841.3713074927, 1965807.7194254259, 1965762.4457885206, 1965747.2284141285]","[8372134.094452085, 8372109.961933316, 8372089.001307855, 8372196.954710912, 8372200.747637104, 8372181.006697557, 8372133.273767712, 8372116.926641112, 8372118.368380804, 8372123.980077991, 8372131.543676611, 8372134.094452085]"
"POLYGON ((1965249.897457061 8371614.44207542, 1965240.925106103 8371600.114392576, 1965191.799814816 8371521.66749558, 1965204.579292359 8371513.660946583, 1965210.200926644 8371510.134519169, 1965235.047436989 8371549.790290602, 1965259.793759792 8371589.31320115, 1965306.414362537 8371560.125666508, 1965319.004596945 8371552.229970302, 1965279.675420848 8371489.441743252, 1965274.666043762 8371481.435229244, 1965280.677296265 8371477.687030377, 1965267.92008262 8371457.304846244, 1965321.698528623 8371423.637771021, 1965337.171937843 8371413.945762699, 1965350.363297502 8371434.993183687, 1965354.804945185 8371432.19868598, 1965362.274483017 8371444.130755026, 1965397.974643714 8371501.152117345, 1965408.627918983 8371494.476314684, 1965450.873665739 8371468.017129682, 1965407.993397885 8371399.529755596, 1965391.00604359 8371372.405560152, 1965484.058005945 8371314.121036173, 1965497.015594673 8371334.813320141, 1965482.432741379 8371343.950767342, 1965440.075675132 8371370.476042284, 1965425.570745482 8371379.569176894, 1965457.241140612 8371430.136081206, 1965470.877778235 8371451.915442443, 1965462.662399814 8371457.060881373, 1965467.571589358 8371464.889939739, 1965475.976210913 8371478.330212298, 1965395.358635681 8371528.831257321, 1965381.888977295 8371507.317814213, 1965376.211683264 8371510.866419066, 1965336.014215139 8371446.68129273, 1965297.898421491 8371470.54549699, 1965337.505896315 8371533.799319083, 1965331.0382339 8371537.835871726, 1965346.122024903 8371561.922160366, 1965279.452781867 8371603.685221137, 1965275.968481804 8371598.118277977, 1965249.897457061 8371614.44207542))",apartments,"[1965249.8974570609, 1965240.9251061028, 1965191.799814816, 1965204.5792923588, 1965210.2009266443, 1965235.0474369891, 1965259.793759792, 1965306.4143625365, 1965319.0045969454, 1965279.675420848, 1965274.6660437624, 1965280.677296265, 1965267.9200826199, 1965321.6985286225, 1965337.1719378426, 1965350.3632975018, 1965354.8049451846, 1965362.2744830167, 1965397.9746437138, 1965408.627918983, 1965450.8736657389, 1965407.9933978855, 1965391.0060435901, 1965484.0580059446, 1965497.015594673, 1965482.432741379, 1965440.075675132, 1965425.5707454819, 1965457.2411406124, 1965470.8777782347, 1965462.662399814, 1965467.571589358, 1965475.9762109132, 1965395.3586356805, 1965381.8889772946, 1965376.2116832638, 1965336.0142151385, 1965297.8984214908, 1965337.505896315, 1965331.0382339, 1965346.1220249028, 1965279.4527818665, 1965275.9684818045, 1965249.8974570609]","[8371614.44207542, 8371600.114392576, 8371521.66749558, 8371513.660946583, 8371510.134519169, 8371549.790290602, 8371589.31320115, 8371560.1256665075, 8371552.229970302, 8371489.441743252, 8371481.435229244, 8371477.687030377, 8371457.304846244, 8371423.637771021, 8371413.9457626995, 8371434.993183687, 8371432.19868598, 8371444.130755026, 8371501.1521173455, 8371494.476314684, 8371468.017129682, 8371399.529755596, 8371372.405560152, 8371314.121036173, 8371334.813320141, 8371343.950767342, 8371370.476042284, 8371379.569176894, 8371430.136081206, 8371451.915442443, 8371457.060881373, 8371464.889939739, 8371478.330212298, 8371528.831257321, 8371507.317814213, 8371510.866419066, 8371446.68129273, 8371470.54549699, 8371533.799319083, 8371537.835871726, 8371561.922160366, 8371603.685221137, 8371598.118277977, 8371614.44207542]"
"POLYGON ((1965544.749392325 8372768.155882204, 1965544.148267075 8372723.014495561, 1965583.49970707 8372722.48211722, 1965584.11196427 8372767.645683169, 1965544.749392325 8372768.155882204))",apartments,"[1965544.7493923248, 1965544.1482670747, 1965583.49970707, 1965584.1119642695, 1965544.7493923248]","[8372768.155882204, 8372723.014495561, 8372722.48211722, 8372767.645683169, 8372768.155882204]"
"POLYGON ((1965773.099063789 8372763.120441106, 1965771.985868881 8372719.465307349, 1965811.381836673 8372718.467098471, 1965812.495031581 8372762.122226318, 1965773.099063789 8372763.120441106))",apartments,"[1965773.0990637892, 1965771.9858688815, 1965811.3818366732, 1965812.4950315808, 1965773.0990637892]","[8372763.120441106, 8372719.465307349, 8372718.467098471, 8372762.122226318, 8372763.120441106]"
"POLYGON ((1965141.071522861 8371451.826728006, 1965158.771321898 8371436.390432942, 1965092.001891319 8371359.786078863, 1965137.932313221 8371319.754299586, 1965203.544021095 8371395.071888328, 1965225.318113494 8371376.087170362, 1965229.4703305 8371380.855523665, 1965260.239037755 8371354.041893302, 1965255.129473128 8371348.186820733, 1965273.897939276 8371331.81925617, 1965208.842828856 8371257.16765409, 1965252.758367974 8371218.888486357, 1965318.525923135 8371294.382469991, 1965336.337041662 8371278.857792137, 1965256.643418203 8371187.39592492, 1965177.406204656 8371256.413601357, 1965245.444677429 8371334.502824562, 1965209.978287662 8371365.397198813, 1965143.231120983 8371288.7935822, 1965061.266579912 8371360.229645504, 1965141.071522861 8371451.826728006))",apartments,"[1965141.0715228615, 1965158.7713218976, 1965092.0018913194, 1965137.932313221, 1965203.5440210947, 1965225.3181134937, 1965229.4703304998, 1965260.2390377554, 1965255.129473128, 1965273.897939276, 1965208.8428288563, 1965252.758367974, 1965318.5259231348, 1965336.337041662, 1965256.643418203, 1965177.4062046562, 1965245.4446774288, 1965209.9782876621, 1965143.231120983, 1965061.2665799118, 1965141.0715228615]","[8371451.826728006, 8371436.390432942, 8371359.786078863, 8371319.754299586, 8371395.071888328, 8371376.087170362, 8371380.855523665, 8371354.041893302, 8371348.186820733, 8371331.81925617, 8371257.16765409, 8371218.888486357, 8371294.382469991, 8371278.857792137, 8371187.39592492, 8371256.413601357, 8371334.502824562, 8371365.397198813, 8371288.7935822, 8371360.229645504, 8371451.826728006]"
"POLYGON ((1965539.940390322 8372466.257319012, 1965562.204288482 8372462.641709429, 1965545.562024608 8372360.274112451, 1965610.862037907 8372349.649258006, 1965629.675031851 8372465.325689376, 1965719.810423547 8372450.663629, 1965701.030825449 8372335.164877746, 1965763.05804572 8372325.07240909, 1965778.631642481 8372420.895965241, 1965801.307422756 8372417.213833358, 1965798.268400657 8372398.559205551, 1965792.424127391 8372362.558790872, 1965784.075165582 8372311.253512875, 1965782.049150849 8372298.787692915, 1965744.167128132 8372304.954056734, 1965704.737764493 8372311.364418838, 1965674.013585034 8372316.355189034, 1965678.099010346 8372341.508722258, 1965683.687248784 8372375.801067152, 1965692.670731691 8372431.077291263, 1965681.594442357 8372432.873997309, 1965655.478889817 8372437.132857845, 1965647.853504698 8372438.375025967, 1965629.574844309 8372325.98183977, 1965520.036465369 8372343.793394876, 1965539.940390322 8372466.257319012))",apartments,"[1965539.9403903224, 1965562.2042884817, 1965545.5620246078, 1965610.8620379074, 1965629.6750318513, 1965719.8104235467, 1965701.0308254494, 1965763.0580457198, 1965778.6316424813, 1965801.3074227562, 1965798.2684006575, 1965792.424127391, 1965784.0751655817, 1965782.049150849, 1965744.1671281322, 1965704.7377644933, 1965674.0135850343, 1965678.0990103465, 1965683.6872487841, 1965692.670731691, 1965681.5944423573, 1965655.478889817, 1965647.8535046978, 1965629.5748443094, 1965520.036465369, 1965539.9403903224]","[8372466.257319012, 8372462.641709429, 8372360.274112451, 8372349.649258006, 8372465.325689376, 8372450.663629, 8372335.164877746, 8372325.07240909, 8372420.895965241, 8372417.213833358, 8372398.559205551, 8372362.558790872, 8372311.253512875, 8372298.787692915, 8372304.954056734, 8372311.364418838, 8372316.355189034, 8372341.508722258, 8372375.801067152, 8372431.077291263, 8372432.873997309, 8372437.132857845, 8372438.375025967, 8372325.9818397695, 8372343.793394876, 8372466.257319012]"
"POLYGON ((1965351.743659187 8371284.934590718, 1965336.025347088 8371267.059058825, 1965391.885467567 8371217.91265849, 1965327.008468333 8371144.193672105, 1965284.718193781 8371181.407917889, 1965269.033277528 8371163.599170164, 1965328.511281459 8371111.259886563, 1965409.6297944 8371203.430501009, 1965404.876452143 8371207.599940063, 1965420.027034841 8371224.832167965, 1965351.743659187 8371284.934590718))",apartments,"[1965351.7436591873, 1965336.0253470878, 1965391.8854675675, 1965327.0084683332, 1965284.7181937809, 1965269.0332775281, 1965328.5112814591, 1965409.6297944, 1965404.876452143, 1965420.0270348405, 1965351.7436591873]","[8371284.934590718, 8371267.059058825, 8371217.91265849, 8371144.193672105, 8371181.407917889, 8371163.599170164, 8371111.259886563, 8371203.430501009, 8371207.599940063, 8371224.832167965, 8371284.934590718]"
